종목코드,종목명,업종,현재가,PER,PBR,ROE(%),PEG,배당률(%),시가총액(억),1개월_수익률(%),3개월_수익률(%),5개월_수익률(%)
009410,태영건설,기타,1664.0,7.7,0.82,10.65,0.72,0.0,53.16,2.21,4.52,-17.42
399720,가온칩스,기타,44100.0,-35.59,9.36,0.0,0.0,0.0,52.3,-2.97,19.03,-44.81
003620,KG모빌리티,기타,2600.0,11.21,0.35,3.12,3.59,0.0,52.62,-3.53,-1.7,-39.18
004710,한솔테크닉스,기타,9820.0,-25.84,1.15,0.0,0.0,0.0,52.16,42.53,-4.75,19.71
112040,위메이드,기타,15140.0,-27.63,1.26,0.0,0.0,0.0,51.4,-2.64,3.2,-33.6
101160,월덱스,기타,31100.0,12.53,1.48,11.81,1.06,0.0,51.35,7.61,14.13,-11.02
376900,로킷헬스케어,기타,29300.0,-149.49,39.59,0.0,0.0,0.0,51.11,6.74,-34.16,-66.78
356680,엑스게이트,기타,18040.0,128.86,11.59,8.99,14.33,0.0,51.49,55.12,9.67,33.93
397030,에이프릴바이오,기타,18440.0,20.51,4.55,22.18,0.92,0.0,50.82,-5.29,-52.04,-70.82
025980,아난티,기타,5240.0,-12.07,0.68,0.0,0.0,0.0,50.99,2.95,33.67,-26.71
